The future delivery of Barnet's Education and Skills service - November 2014,The future delivery of Barnet's Education and Skills service - November 2014,The future delivery of Barnet's Education and Skills service - November 2014,
"If you are responding individually, it would be helpful if you could give reasons for this: (Please type in your answer)","If you are responding individually, it would be helpful if you could give reasons for this: (Please type in your answer)","If you are responding individually, it would be helpful if you could give reasons for this: (Please type in your answer)",
Answer Options,Answer Options,Response Count,
,,19,
answered question,19,19,
skipped question,80,80,
Number,Response Date,Response Text,Categories
1,"Dec 3, 2014 10:55 PM",I have overlooked the completion deadline.  I have discussed with CoG and am confident these views are also his but don't want to overstate things!,
2,"Dec 2, 2014 4:35 PM","Due to circumstances beyond our control,we have not been able to respond together.",
3,"Dec 2, 2014 10:27 AM",I have been away from school on long term illness following an accident and my Chair of Govs is on holiday,
4,"Dec 2, 2014 8:22 AM",Already discussed options with the chair of govs who will make her own response. I am responding after attending the meeting on Monday afternoon.,
5,"Dec 2, 2014 8:22 AM",I have been unable to meet with my colleagues in time to discuss the survey,
6,"Dec 2, 2014 12:04 AM",Sending as Vice-Chair on behalf of Chair,
7,"Dec 1, 2014 11:01 PM","Due to pressure of time, unable to meet personally before submitting response but in contact electronically.",
8,"Dec 1, 2014 9:21 PM",I have not had time available to discuss with Chair (despite I know being given a time frame - sorry!),
9,"Dec 1, 2014 6:31 PM",Due to our Ofsted inspection it has been impossible to find a time to discuss a joint response,
10,"Dec 1, 2014 3:52 PM",Chair of governors is happy to be guided by headteacher,
11,"Dec 1, 2014 3:43 PM","CCS currently has an interim Head Teacher, who does not think it appropriate  to respond to such a forward looking survey",
12,"Dec 1, 2014 2:59 PM",CoG was on holiday when this was sent,
13,"Dec 1, 2014 2:22 PM",Have discussed with CoG who has replied separately,
14,"Dec 1, 2014 1:01 PM",Chair of Governors has had a family bereavement and other calls on her time and we have only been able to meet for essentials,
15,"Nov 27, 2014 7:31 AM",Simpler from a time and admin perspective,
16,"Nov 26, 2014 6:57 PM","Because the reply date for the survey is 30 th November and the email was sent out on 26 th November, with a four day response time, woeful and poor practise!",
17,"Nov 11, 2014 1:18 PM",Headteacher has already responded,
18,"Nov 10, 2014 11:53 AM",We do not have a chair of governors.,
